/ # psql -U postgres
psql (17.8)
Type "help" for help.

postgres=# SELECT * FROM CHARACTERS;

 id  |                     name                      | status  |        species        |                type                |   gender   |                   origin                   |                  location                  |                           image                           | episode_count 
  12 | Alexander                                     | Dead    | Human                 |                                    | Male       | Earth (C-137)                              | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/12.jpeg  |             1
  13 | Alien Googah                                  | unknown | Alien                 |                                    | unknown    | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/13.jpeg  |             1
  14 | Alien Morty                                   | unknown | Alien                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/14.jpeg  |             1
  15 | Alien Rick                                    | unknown | Alien                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/15.jpeg  |             1
  16 | Amish Cyborg                                  | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/16.jpeg  |             1
  17 | Annie                                         | Alive   | Human                 |                                    | Female     | Earth (C-137)                              | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/17.jpeg  |             1
  18 | Antenna Morty                                 | Alive   | Human                 | Human with antennae                | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/18.jpeg  |             2
  19 | Antenna Rick                                  | unknown | Human                 | Human with antennae                | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/19.jpeg  |             1
  20 | Ants in my Eyes Johnson                       | unknown | Human                 | Human with ants in his eyes        | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/20.jpeg  |             1
  21 | Aqua Morty                                    | unknown | Humanoid              | Fish-Person                        | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/21.jpeg  |             2
  22 | Aqua Rick                                     | unknown | Humanoid              | Fish-Person                        | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/22.jpeg  |             3
  23 | Arcade Alien                                  | unknown | Alien                 |                                    | Male       | unknown                                    | Immortality Field Resort                   | https://rickandmortyapi.com/api/character/avatar/23.jpeg  |             5
  24 | Armagheadon                                   | Alive   | Alien                 | Cromulon                           | Male       | Signus 5 Expanse                           | Signus 5 Expanse                           | https://rickandmortyapi.com/api/character/avatar/24.jpeg  |             1
  25 | Armothy                                       | Dead    | unknown               | Self-aware arm                     | Male       | Post-Apocalyptic Earth                     | Post-Apocalyptic Earth                     | https://rickandmortyapi.com/api/character/avatar/25.jpeg  |             1
  26 | Arthricia                                     | Alive   | Alien                 | Cat-Person                         | Female     | Purge Planet                               | Purge Planet                               | https://rickandmortyapi.com/api/character/avatar/26.jpeg  |             1
  27 | Artist Morty                                  | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/27.jpeg  |             2
  28 | Attila Starwar                                | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/28.jpeg  |             3
  29 | Baby Legs                                     | Alive   | Human                 | Human with baby legs               | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/29.jpeg  |             1
  30 | Baby Poopybutthole                            | Alive   | Poopybutthole         |                                    | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/30.jpeg  |             1
  31 | Baby Wizard                                   | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/31.jpeg  |             1                  
  32 | Bearded Lady                                  | Dead    | Alien                 | Parasite                           | Female     | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/32.jpeg  |             1
  33 | Beebo                                         | Dead    | Alien                 |                                    | Male       | Venzenulon 7                               | Venzenulon 7                               | https://rickandmortyapi.com/api/character/avatar/33.jpeg  |             1
  34 | Benjamin                                      | Alive   | Poopybutthole         |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/34.jpeg  |             3
  35 | Bepisian                                      | Alive   | Alien                 | Bepisian                           | unknown    | Bepis 9                                    | Bepis 9                                    | https://rickandmortyapi.com/api/character/avatar/35.jpeg  |             4
  36 | Beta-Seven                                    | Alive   | Alien                 | Hivemind                           | unknown    | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/36.jpeg  |             1
  37 | Beth Sanchez                                  | Alive   | Human                 |                                    | Female     | Earth (C-500A)                             | Earth (C-500A)                             | https://rickandmortyapi.com/api/character/avatar/37.jpeg  |             1
  38 | Beth Smith                                    | Alive   | Human                 |                                    | Female     | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/38.jpeg  |             8
  39 | Beth Smith                                    | Alive   | Human                 |                                    | Female     | Earth (Evil Ricks Target Dimension)        | Earth (Evil Ricks Target Dimension)        | https://rickandmortyapi.com/api/character/avatar/39.jpeg  |             1
  40 | Beths Mytholog                                | Dead    | Mythological Creature | Mytholog                           | Female     | Nuptia 4                                   | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/40.jpeg  |             1
  41 | Big Boobed Waitress                           | Alive   | Mythological Creature |                                    | Female     | Fantasy World                              | Fantasy World                              | https://rickandmortyapi.com/api/character/avatar/41.jpeg  |             1
  42 | Big Head Morty                                | unknown | Human                 | Human with giant head              | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/42.jpeg  |             1
  43 | Big Morty                                     | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/43.jpeg  |             1
  44 | Body Guard Morty                              | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/44.jpeg  |             1
  45 | Bill                                          | Alive   | Human                 |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/45.jpeg  |             1
  46 | Bill                                          | unknown | Animal                | Dog                                | Male       | Earth (Replacement Dimension)              | unknown                                    | https://rickandmortyapi.com/api/character/avatar/46.jpeg  |             1
  47 | Birdperson                                    | Alive   | Alien                 | Bird-Person                        | Male       | Bird World                                 | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/47.jpeg  |             7
  48 | Black Rick                                    | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/48.jpeg  |             2
  49 | Blamph                                        | Alive   | Alien                 |                                    | unknown    | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/49.jpeg  |             1
  50 | Blim Blam                                     | Alive   | Alien                 | Korblock                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/50.jpeg  |             1
  51 | Blue Diplomat                                 | Alive   | Alien                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/51.jpeg  |             1
  52 | Blue Footprint Guy                            | Dead    | Human                 |                                    | Male       | Post-Apocalyptic Earth                     | Post-Apocalyptic Earth                     | https://rickandmortyapi.com/api/character/avatar/52.jpeg  |             1
  53 | Blue Shirt Morty                              | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/53.jpeg  |             1
  54 | Bobby Moynihan                                | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/54.jpeg  |             1
  55 | Boobloosian                                   | Dead    | Alien                 | Boobloosian                        | unknown    | unknown                                    | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/55.jpeg  |             2
  56 | Bootleg Portal Chemist Rick                   | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/56.jpeg  |             1
  57 | Borpocian                                     | Alive   | Alien                 | Elephant-Person                    | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/57.jpeg  |             1
  58 | Brad                                          | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/58.jpeg  |             4
  59 | Brad Anderson                                 | Dead    | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/59.jpeg  |             1
  60 | Calypso                                       | Dead    | Human                 | Superhuman                         | Female     | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/60.jpeg  |             1
  61 | Campaign Manager Morty                        | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/61.jpeg  |             1
  62 | Canklanker Thom                               | Dead    | Alien                 | Gromflomite                        | Male       | Gromflom Prime                             | unknown                                    | https://rickandmortyapi.com/api/character/avatar/62.jpeg  |             1
  63 | Centaur                                       | Alive   | Mythological Creature | Centaur                            | Male       | unknown                                    | Mr. Goldenfolds dream                      | https://rickandmortyapi.com/api/character/avatar/63.jpeg  |             1
  64 | Chris                                         | Dead    | Alien                 | Organic gun                        | unknown    | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/64.jpeg  |             1
  65 | Chris                                         | Alive   | Humanoid              | Microverse inhabitant              | Male       | Ricks Battery Microverse                   | Ricks Battery Microverse                   | https://rickandmortyapi.com/api/character/avatar/65.jpeg  |             1
  66 | Coach Feratu (Balik Alistane)                 | Dead    | Mythological Creature | Vampire                            | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/66.jpeg  |             1
  67 | Collector                                     | Alive   | Alien                 | Light bulb-Alien                   | Male       | The Menagerie                              | The Menagerie                              | https://rickandmortyapi.com/api/character/avatar/67.jpeg  |             1
  68 | Colossus                                      | Dead    | Human                 |                                    | Male       | Post-Apocalyptic Earth                     | Post-Apocalyptic Earth                     | https://rickandmortyapi.com/api/character/avatar/68.jpeg  |             1
  69 | Commander Rick                                | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/69.jpeg  |             1
  70 | Concerto                                      | Dead    | Humanoid              |                                    | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/70.jpeg  |             1
  71 | Conroy                                        | Dead    | Robot                 |                                    | unknown    | Earth (Replacement Dimension)              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/71.jpeg  |             1
  72 | Cool Rick                                     | Alive   | Human                 |                                    | Male       | Earth (K-83)                               | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/72.jpeg  |             1
  73 | Cop Morty                                     | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/73.jpeg  |             1
  74 | Cop Rick                                      | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/74.jpeg  |             1
  75 | Courier Flap                                  | Alive   | Alien                 |                                    | unknown    | unknown                                    | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/75.jpeg  |             1
  76 | Cousin Nicky                                  | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/76.jpeg  |             1
  77 | Cowboy Morty                                  | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/77.jpeg  |             1
  78 | Cowboy Rick                                   | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/78.jpeg  |             2
  79 | Crab Spider                                   | Alive   | Alien                 | Animal                             | unknown    | Hideout Planet                             | Hideout Planet                             | https://rickandmortyapi.com/api/character/avatar/79.jpeg  |             1
  80 | Creepy Little Girl                            | Alive   | Human                 |                                    | Female     | unknown                                    | Mr. Goldenfolds dream                      | https://rickandmortyapi.com/api/character/avatar/80.jpeg  |             1
  81 | Crocubot                                      | Dead    | Animal                | Robot-Crocodile hybrid             | Male       | unknown                                    | Worldenders lair                           | https://rickandmortyapi.com/api/character/avatar/81.jpeg  |             1
  82 | Cronenberg Rick                               | unknown | Cronenberg            |                                    | Male       | Cronenberg Earth                           | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/82.jpeg  |             2
  83 | Cronenberg Morty                              | unknown | Cronenberg            |                                    | Male       | Cronenberg Earth                           | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/83.jpeg  |             2
  84 | Cult Leader Morty                             | Alive   | Human                 |                                    | Male       | unknown                                    | Hideout Planet                             | https://rickandmortyapi.com/api/character/avatar/84.jpeg  |             1
  85 | Cyclops Morty                                 | Alive   | Humanoid              |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/85.jpeg  |             2
  86 | Cyclops Rick                                  | Dead    | Humanoid              |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/86.jpeg  |             3
  87 | Cynthia                                       | Dead    | Alien                 | Zigerion                           | Female     | unknown                                    | Zigerions Base                             | https://rickandmortyapi.com/api/character/avatar/87.jpeg  |             1
  88 | Cynthia                                       | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/88.jpeg  |             4
  89 | Dale                                          | Dead    | Mythological Creature | Giant                              | Male       | Giants Town                                | Giants Town                                | https://rickandmortyapi.com/api/character/avatar/89.jpeg  |             1
  90 | Daron Jefferson                               | Alive   | Alien                 | Cone-nippled alien                 | Male       | Unitys Planet                              | Unitys Planet                              | https://rickandmortyapi.com/api/character/avatar/90.jpeg  |             1
  91 | David Letterman                               | Alive   | Human                 |                                    | Male       | Earth (C-500A)                             | Earth (C-500A)                             | https://rickandmortyapi.com/api/character/avatar/91.jpeg  |             1
  92 | Davin                                         | Dead    | Human                 |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/92.jpeg  |             2
  93 | Diablo Verde                                  | Dead    | Mythological Creature | Demon                              | Male       | unknown                                    | Dorian 5                                   | https://rickandmortyapi.com/api/character/avatar/93.jpeg  |             1
  94 | Diane Sanchez                                 | Dead    | Human                 |                                    | Female     | Earth (C-137)                              | Ricks Memories                             | https://rickandmortyapi.com/api/character/avatar/94.jpeg  |             2
  95 | Dipper and Mabel Mortys                       | unknown | Human                 |                                    | unknown    | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/95.jpeg  |             1
  96 | Tuberculosis                                  | Dead    | Disease               |                                    | unknown    | Anatomy Park                               | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/96.jpeg  |             1
  97 | Gonorrhea                                     | Dead    | Disease               |                                    | unknown    | Anatomy Park                               | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/97.jpeg  |             1
  98 | Hepatitis A                                   | Dead    | Disease               |                                    | unknown    | Anatomy Park                               | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/98.jpeg  |             1
  99 | Hepatitis C                                   | Dead    | Disease               |                                    | unknown    | Anatomy Park                               | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/99.jpeg  |             1
 100 | Bubonic Plague                                | Dead    | Disease               |                                    | unknown    | Anatomy Park                               | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/100.jpeg |             1
 101 | E. Coli                                       | Dead    | Disease               |                                    | unknown    | Anatomy Park                               | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/101.jpeg |             1
 102 | Donna Gueterman                               | Dead    | Robot                 |                                    | Female     | unknown                                    | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/102.jpeg |             1
 103 | Doofus Rick                                   | unknown | Human                 |                                    | Male       | Earth (J19ζ7)                              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/103.jpeg |             2
 104 | Doom-Nomitron                                 | Dead    | Alien                 | Shapeshifter                       | unknown    | unknown                                    | Dorian 5                                   | https://rickandmortyapi.com/api/character/avatar/104.jpeg |             1
 105 | Dr. Glip-Glop                                 | Dead    | Alien                 |                                    | Male       | unknown                                    | St. Gloopy Noops Hospital                  | https://rickandmortyapi.com/api/character/avatar/105.jpeg |             1
 106 | Dr. Schmidt                                   | unknown | Human                 | Game                               | Male       | Roy: A Life Well Lived                     | Roy: A Life Well Lived                     | https://rickandmortyapi.com/api/character/avatar/106.jpeg |             1
 107 | Dr. Wong                                      | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/107.jpeg |             2
 108 | Dr. Xenon Bloom                               | Dead    | Humanoid              | Amoeba-Person                      | Male       | unknown                                    | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/108.jpeg |             1
 109 | Duck With Muscles                             | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/109.jpeg |             1
 110 | Eli                                           | Alive   | Human                 |                                    | Male       | Post-Apocalyptic Earth                     | Post-Apocalyptic Earth                     | https://rickandmortyapi.com/api/character/avatar/110.jpeg |             1
 111 | Elis Girlfriend                               | Alive   | Human                 |                                    | Female     | Post-Apocalyptic Earth                     | Post-Apocalyptic Earth                     | https://rickandmortyapi.com/api/character/avatar/111.jpeg |             1
 112 | Eric McMan                                    | Alive   | Human                 |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/112.jpeg |             1
 113 | Eric Stoltz Mask Morty                        | unknown | Human                 |                                    | Male       | Eric Stoltz Mask Earth                     | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/113.jpeg |             1
 114 | Ethan                                         | unknown | Human                 | Cronenberg                         | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/114.jpeg |             1
 115 | Ethan                                         | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/115.jpeg |             2
 116 | Evil Beth Clone                               | Dead    | Human                 | Clone                              | Female     | unknown                                    | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/116.jpeg |             1
 117 | Evil Jerry Clone                              | Dead    | Human                 | Clone                              | Male       | unknown                                    | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/117.jpeg |             1
 118 | Evil Morty                                    | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/118.jpeg |             3
 119 | Evil Rick                                     | Dead    | Humanoid              | Robot                              | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/119.jpeg |             1
 120 | Evil Summer Clone                             | Dead    | Human                 | Clone                              | Female     | unknown                                    | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/120.jpeg |             1
 121 | Eyehole Man                                   | Alive   | Alien                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/121.jpeg |             1
 122 | Fart                                          | Dead    | Alien                 | Interdimensional gaseous being     | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/122.jpeg |             1
 123 | Fat Morty                                     | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/123.jpeg |             1
 124 | Father Bob                                    | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/124.jpeg |             2
 125 | Flansian                                      | Alive   | Alien                 | Flansian                           | unknown    | unknown                                    | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/125.jpeg |             3
 126 | Fleeb                                         | unknown | Alien                 |                                    | unknown    | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/126.jpeg |             1
 127 | Frank Palicky                                 | Dead    | Human                 |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/127.jpeg |             1
 128 | Frankensteins Monster                         | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/128.jpeg |             1
 129 | Fulgora                                       | Alive   | Human                 |                                    | Female     | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/129.jpeg |             3
 130 | Galactic Federation President                 | Dead    | Alien                 | Gromflomite                        | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/130.jpeg |             1
 131 | Gar Gloonch                                   | Dead    | Alien                 | Zombodian                          | Male       | unknown                                    | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/131.jpeg |             3
 132 | Gars Mytholog                                 | Dead    | Mythological Creature | Mytholog                           | Male       | Nuptia 4                                   | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/132.jpeg |             1
 133 | Garblovian                                    | Alive   | Alien                 | Garblovian                         | Male       | Glaagablaaga                               | unknown                                    | https://rickandmortyapi.com/api/character/avatar/133.jpeg |             3
 134 | Garmanarnar                                   | Alive   | Alien                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/134.jpeg |             1
 135 | Garment District Rick                         | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/135.jpeg |             1
 136 | Gazorpazorpfield                              | Alive   | Alien                 | Gazorpian                          | Male       | Gazorpazorp                                | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/136.jpeg |             2
 137 | Gene                                          | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/137.jpeg |             2
 138 | General Nathan                                | Dead    | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/138.jpeg |             1
 139 | General Store Owner                           | Dead    | Alien                 | Cat-Person                         | Male       | Purge Planet                               | Purge Planet                               | https://rickandmortyapi.com/api/character/avatar/139.jpeg |             1
 140 | Genital Washer                                | Alive   | Human                 |                                    | Male       | Post-Apocalyptic Earth                     | Post-Apocalyptic Earth                     | https://rickandmortyapi.com/api/character/avatar/140.jpeg |             1
 141 | Ghost in a Jar                                | Dead    | Alien                 | Parasite                           | Genderless | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/141.jpeg |             1
 142 | Gibble Snake                                  | Dead    | Alien                 | Animal                             | unknown    | Resort Planet                              | Resort Planet                              | https://rickandmortyapi.com/api/character/avatar/142.jpeg |             1
 143 | Glasses Morty                                 | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/143.jpeg |             1
 144 | Glenn                                         | Dead    | Alien                 | Gromflomite                        | Male       | unknown                                    | Interdimensional Customs                   | https://rickandmortyapi.com/api/character/avatar/144.jpeg |             1
 145 | Glenn                                         | Alive   | Human                 | Eat shiter-Person                  | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/145.jpeg |             1
 146 | Glexo Slim Slom                               | Alive   | Alien                 |                                    | Male       | unknown                                    | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/146.jpeg |             1
 147 | Gobo                                          | Dead    | Alien                 |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/147.jpeg |             1
 148 | Goddess Beth                                  | unknown | Mythological Creature | Goddess                            | Female     | Nuptia 4                                   | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/148.jpeg |             1
 149 | Gordon Lunas                                  | Dead    | Human                 |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/149.jpeg |             1
 150 | Cornvelious Daniel                            | Dead    | Alien                 | Gromflomite                        | Male       | unknown                                    | Galactic Federation Prison                 | https://rickandmortyapi.com/api/character/avatar/150.jpeg |             1
 151 | Gwendolyn                                     | unknown | Robot                 | Gazorpian reproduction robot       | Female     | Gazorpazorp                                | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/151.jpeg |             1
 152 | Hammerhead Morty                              | unknown | Humanoid              | Hammerhead-Person                  | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/152.jpeg |             2
 153 | Hamster In Butt                               | Alive   | Animal                |                                    | unknown    | Hamster in Butt World                      | Hamster in Butt World                      | https://rickandmortyapi.com/api/character/avatar/153.jpeg |             2
 154 | Hamurai                                       | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/154.jpeg |             1
 155 | Harold                                        | Alive   | Cronenberg            |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/155.jpeg |             1
